feature,importance_mean,importance_std
sold_year,847040.3748159555,28287.165935246514
living_area_raw,340138.76230178366,18517.95319412313
latitude,183419.79489628115,11449.635093515108
plot_area_raw,129038.29912606414,5764.74517288196
min_dist_workplace_km,72705.66998566179,5186.2973617533735
house_age,56587.62325253766,6161.497160648
longitude,23619.51894838207,3913.8155280597325
rooms_raw,19903.453354269637,2913.7448434212206
min_dist_recreation_km,13639.069183764315,2408.1102490866588
min_dist_transport_km,9556.184152125428,1918.306784847463
type_Villa,8650.098750282952,1492.1352657745365
min_dist_center_km,6695.6112869521485,1625.4517923710068
plot_living_ratio,6077.492103187227,4192.871214357647
sold_month,5821.269934785843,1936.2317013932288
operating_cost_raw,1933.6553816110827,1496.170573584239
min_dist_infrastructure_km,1782.5997991774814,838.4802530635155
rooms_missing,385.99941541143926,433.41198790177003
type_Radhus,23.491172149276828,54.88588402095811
type_Parhus,-129.00490224396344,198.93451201568215
