sold_price_raw,living_area_raw,plot_area_raw,rooms_raw,operating_cost_raw,latitude,longitude,house_age,type_Parhus,type_Radhus,type_Villa,plot_living_ratio,dist_partille_center_km,dist_gbg_center_km,dist_partille_station_km,dist_jonsered_station_km,dist_ostra_km,dist_e20_partille_km,dist_e45_gamlestadsmotet_km,dist_e20_jonsered_lerum_km,dist_rv40_landvetter_km,dist_delsjon_km,dist_kasjon_km,dist_partille_golf_km,dist_jonsered_herrgard_km,min_dist_center_km,min_dist_transport_km,min_dist_workplace_km,min_dist_infrastructure_km,min_dist_recreation_km,sold_year,sold_month,rooms_missing
5850000,141.0,693.0,5.0,3025.0,57.73388333,12.1210267,38.0,False,False,True,4.914893617021277,1.1,9.1,1.1,3.6,4.4,1.1,6.0,3.5,11.7,4.9,4.4,1.5,3.6,1.1,1.1,4.4,1.1,1.5,2025,12,0
7750000,133.0,1101.0,5.0,2938.0,57.72926069,12.07725015,90.0,False,False,True,8.278195488721805,2.1,6.5,2.1,6.2,1.8,2.2,3.3,6.1,13.9,2.3,6.7,4.1,6.1,2.1,2.1,1.8,2.2,2.3,2025,12,0
3950000,124.0,174.0,6.0,3434.0,57.74561897,12.11232317,63.0,False,True,False,1.403225806451613,0.8,9.1,0.7,3.7,4.6,0.6,5.8,3.6,12.8,5.0,4.0,1.8,3.5,0.8,0.7,4.6,0.6,1.8,2025,12,0
8400000,206.0,801.0,8.0,4192.0,57.746314,12.102447,59.0,False,False,True,3.8883495145631066,0.8,8.7,0.8,4.2,4.2,0.7,5.3,4.2,13.4,4.6,4.4,2.4,4.0,0.8,0.8,4.2,0.7,2.4,2025,12,0
5325000,97.0,243.0,5.0,3975.0,57.74136418,12.0701387,76.0,False,True,False,2.5051546391752577,2.2,6.7,2.2,6.2,2.6,2.2,3.3,6.2,14.8,2.9,6.4,4.2,6.0,2.2,2.2,2.6,2.2,2.9,2025,12,0
6650000,114.0,1351.0,5.0,3332.0,57.6879553,12.1118448,70.0,False,False,True,11.850877192982455,5.8,8.5,5.8,7.8,5.1,5.9,6.9,7.7,10.9,5.5,9.2,6.3,8.0,5.8,5.8,5.1,5.9,5.5,2025,12,0
5450000,112.0,788.0,5.0,3833.0,57.72893987,12.06610365,87.0,False,False,True,7.035714285714286,2.7,5.9,2.7,6.8,1.3,2.8,2.7,6.7,14.5,1.7,7.3,4.7,6.7,2.7,2.7,1.3,2.7,1.7,2025,12,0
5200000,105.0,147.0,5.0,3912.0,57.724133,12.074707,29.0,False,True,False,1.4,2.5,6.2,2.6,6.5,1.5,2.7,3.2,6.4,13.8,2.0,7.2,4.4,6.5,2.5,2.6,1.5,2.7,2.0,2025,12,0
3500000,87.0,79.0,4.0,4152.0,57.74522764,12.11824982,58.0,False,True,False,0.9080459770114943,0.9,9.4,0.9,3.3,4.8,0.8,6.1,3.3,12.5,5.3,3.7,1.4,3.1,0.9,0.9,4.8,0.8,1.4,2025,8,0
3450000,90.0,940.0,4.0,2982.0,57.74119357,12.09451894,113.0,False,False,True,10.444444444444445,0.7,8.0,0.7,4.8,3.5,0.8,4.6,4.7,13.5,3.9,5.1,2.8,4.6,0.7,0.7,3.5,0.8,2.8,2025,12,0
